Period,Open,High,Low,Close
2025-01-31,13394.990000,13447.650000,13250.630000,13271.382503
2025-01-30,13292.970000,13371.620000,13242.110000,13337.850568
2025-01-29,13308.050000,13318.190000,13209.760000,13267.654567
2025-01-28,13240.470000,13344.950000,13169.760000,13329.949153
2025-01-27,13113.220000,13217.920000,13104.500000,13208.192955
2025-01-24,13447.860000,13462.370000,13376.220000,13403.505786
2025-01-23,13347.490000,13440.650000,13344.480000,13440.608937
2025-01-22,13358.430000,13400.490000,13346.880000,13369.360809
2025-01-21,13210.440000,13292.150000,13196.250000,13287.578905
2025-01-17,13168.980000,13211.860000,13132.860000,13171.751047
2025-01-16,13098.880000,13101.270000,13026.660000,13041.193998
2025-01-15,12970.390000,13092.050000,12970.390000,13068.564639
2025-01-14,12868.200000,12895.990000,12749.940000,12832.285322
2025-01-13,12698.530000,12822.500000,12682.030000,12817.560512
2025-01-10,12936.400000,12936.400000,12755.160000,12797.391894
2025-01-08,12978.470000,13015.510000,12899.840000,12995.133350
2025-01-07,13159.520000,13175.540000,12934.300000,12974.588375
2025-01-06,13136.470000,13220.330000,13086.410000,13120.136117
2025-01-03,12934.050000,13061.860000,12929.390000,13046.884923
2025-01-02,12959.780000,13029.650000,12798.190000,12883.578383
2024-12-31,12995.490000,13017.180000,12883.880000,12911.821833
2024-12-30,12996.370000,13039.720000,12883.660000,12966.218567
2024-12-27,13183.950000,13183.950000,13023.450000,13106.387337
2024-12-26,13224.070000,13278.310000,13185.440000,13251.764121
2024-12-24,13134.470000,13256.220000,13128.080000,13256.066495
2024-12-23,13037.060000,13120.280000,12954.680000,13111.298574
2024-12-20,12820.680000,13128.050000,12801.930000,13015.664482
2024-12-19,12975.220000,13025.280000,12874.190000,12875.087297
2024-12-18,13271.300000,13321.460000,12878.060000,12886.208579
2024-12-17,13281.800000,13292.970000,13243.910000,13277.549708
2024-12-16,13306.200000,13353.080000,13295.990000,13328.775657
2024-12-13,13314.030000,13336.850000,13242.940000,13276.555499
2024-12-12,13325.780000,13337.610000,13275.240000,13275.237250
